key,player,pick,pos,college,year,team,n_college_picks,short_college,age,bench,broad,carav,def_int,def_int_td,def_int_yards,forty,fumbles_forced,fumbles_rec,fumbles_rec_tds,fumbles_rec_yds,games,height,kick_ret,kick_ret_td,kick_ret_yds,pass_att,pass_cmp,pass_defended,pass_int,pass_td,pass_yds,punt_ret,punt_ret_td,punt_ret_yds,rec,rec_td,rec_yds,rush_att,rush_td,rush_yds,sacks,seasons,shuttle,tackles_assists,tackles_combined,tackles_loss,tackles_solo,threecone,vertical,weight
https://www.sports-reference.com/cfb/players/donald-celiscar-1.html,Donald Celiscar,257.0,CB,West. Michigan,2015.0,,18,SMALL SCHOOL,21.76967864014158,15.287068352566251,120.0,0.0,0.0,0.0,0.0,4.62,0.0,0.0,0.0,0.0,49.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.236368407506445,0.0,0.0,0.0,0.0,7.043365551692135,34.54927109377225,194.0
https://www.sports-reference.com/cfb/players/donald-lee-1.html,Donald Lee,257.0,TE,Mississippi State,2003.0,,65,Mississippi State,22.704321152151778,26.0,120.0,0.0,0.0,0.0,0.0,4.82,0.0,0.0,0.0,0.0,44.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.42,0.0,0.0,0.0,0.0,7.42,39.0,249.0
https://www.sports-reference.com/cfb/players/donald-penn-1.html,Donald Penn,257.0,OT,Utah State,2006.0,,22,SMALL SCHOOL,23.934172782479862,21.0,107.48236183024343,0.0,0.0,0.0,0.0,5.05,0.0,0.0,0.0,0.0,7.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.6661906437102525,0.0,0.0,0.0,0.0,7.668403434756011,30.302511502704505,317.0
https://www.sports-reference.com/cfb/players/donald-stephenson-1.html,Donald Stephenson,257.0,OT,Oklahoma,2012.0,,269,Oklahoma,24.911817048582925,19.0,114.0,0.0,0.0,0.0,0.0,4.94,0.0,0.0,0.0,0.0,14.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.78,0.0,0.0,0.0,0.0,7.52,35.5,312.0
https://www.sports-reference.com/cfb/players/donald-strickland-1.html,Donald Strickland,257.0,CB,Colorado,2003.0,,104,Colorado,21.70893848964222,16.0,121.0,0.0,0.0,0.0,0.0,4.53,0.0,0.0,0.0,0.0,26.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.04,0.0,0.0,0.0,0.0,6.98,35.5,187.0
https://www.sports-reference.com/cfb/players/donald-thomas-1.html,Donald Thomas,257.0,OG,Connecticut,2008.0,,64,Connecticut,22.510977094092965,28.0,100.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.78,0.0,0.0,0.0,0.0,7.45,24.5,303.0
https://www.sports-reference.com/cfb/players/donald-washington-1.html,Donald Washington,257.0,CB,Ohio State,2009.0,,149,Ohio State,24.182793551057554,9.0,135.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,38.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.2,0.0,0.0,0.0,0.0,6.84,45.0,197.0
https://www.sports-reference.com/cfb/players/donnie-avery-1.html,Donnie Avery,257.0,WR,Houston,2008.0,,63,Houston,22.175737848101036,16.0,122.42602095494908,0.0,0.0,0.0,0.0,4.43,0.0,0.0,0.0,0.0,50.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.157633609176685,0.0,0.0,0.0,0.0,6.900723469010268,35.95401485681094,192.0
https://www.sports-reference.com/cfb/players/donnie-jones-1.html,Donnie Jones,257.0,P,LSU,2004.0,,331,LSU,21.93340888372213,14.73909706553863,112.7693412067366,0.0,0.0,0.0,0.0,4.88,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.389183704035114,0.0,0.0,0.0,0.0,7.252084643385527,31.54468430641731,222.0
https://www.sports-reference.com/cfb/players/donnie-nickey-1.html,Donnie Nickey,257.0,S,Ohio State,2003.0,,149,Ohio State,22.399351458299684,17.0,119.0,0.0,0.0,0.0,0.0,4.65,0.0,0.0,0.0,0.0,48.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.16,0.0,0.0,0.0,0.0,7.08,33.5,220.0
https://www.sports-reference.com/cfb/players/donnie-oneal-1.html,Donnie O'Neal,257.0,WR,Arizona State,2002.0,,70,Arizona State,22.5303967314683,14.165190225917485,126.0,0.0,0.0,0.0,0.0,4.52,0.0,0.0,0.0,0.0,22.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.148906781389874,0.0,0.0,0.0,0.0,6.9,38.0,191.0
https://www.sports-reference.com/cfb/players/donovan-smith-1.html,Donovan Smith,257.0,OT,Penn State,2015.0,,100,Penn State,23.946342231085172,26.0,109.0,0.0,0.0,0.0,0.0,5.27,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.79,0.0,0.0,0.0,0.0,7.95,32.0,338.0
https://www.sports-reference.com/cfb/players/donovan-warren-1.html,Donovan Warren,257.0,S,Michigan,2010.0,,240,Michigan,21.560954210185365,12.0,113.0,0.0,0.0,0.0,0.0,4.62,0.0,0.0,0.0,0.0,36.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.277114836500692,0.0,0.0,0.0,0.0,7.094853729717478,32.42998646865726,193.0
https://www.sports-reference.com/cfb/players/donta-hightower-2.html,Dont'a Hightower,257.0,ILB,Alabama,2012.0,,337,Alabama,22.980061689368842,24.543266107766357,115.59592668025495,0.0,0.0,0.0,0.0,4.62,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.400697788703901,0.0,0.0,0.0,0.0,7.252630042602841,32.0,265.0
